sep=	
Reflection Zoneplate_RN	Reflection Zoneplate_RS	Reflection Zoneplate_RO	Reflection Zoneplate_OX	Reflection Zoneplate_OY	Reflection Zoneplate_OZ	Reflection Zoneplate_DX	Reflection Zoneplate_DY	Reflection Zoneplate_DZ	Reflection Zoneplate_EN	Reflection Zoneplate_PL	Reflection Zoneplate_S0	Reflection Zoneplate_S1	Reflection Zoneplate_S2	Reflection Zoneplate_S3
5	2	1	-1.69350304078671	-1.67600306415694	96.0181512385962	0.0126641713608115	0.00419850753241713	0.999910991687882	100	96.0184316835494	1	1	0	0
6	2	1	1.69350304078671	-1.67600306415694	96.0181512385962	-0.0126641713608115	0.00419850753241713	0.999910991687882	100	96.0184316835494	1	1	0	0
