Plane Mirror 3_RN;Plane Mirror 3_RS;Plane Mirror 3_RO;Plane Mirror 3_OX;Plane Mirror 3_OY;Plane Mirror 3_OZ;Plane Mirror 3_DX;Plane Mirror 3_DY;Plane Mirror 3_DZ;Plane Mirror 3_EN;Plane Mirror 3_PL;Plane Mirror 3_S0;Plane Mirror 3_S1;Plane Mirror 3_S2;Plane Mirror 3_S3
3;2;1;22.887949432163600000;-0.000000000000003553;-44.268265516521300000;0.000572061317251272;0.374991862343510000;0.927027926182375000;100;-41.03483132;1;0.559193;0.829038;-6.80E-05
4;2;1;-18.732777343047100000;-0.000000000000001776;-25.909702386067100000;-0.000467771732142450;0.374831691251417000;0.927092759341378000;100;-24.01750551;1;0.913545;0.406737;-2.58E-06
5;2;1;-5.550822806527160000;0.000000000000000000;-20.338669597568000000;-0.000138542309664770;0.374783385041190000;0.927112396154369000;100;-18.85657549;1;0.374607;0.927184;-2.33E-05
6;2;1;7.634531822079090000;0.000000000000000888;-14.766201843262400000;0.000190687131103437;0.374735037205325000;0.927131929948021000;100;-13.68987321;1;0.961262;0.275637;0.000157003
7;2;1;20.823290783070500000;0.000000000000001332;-9.192297331883200000;0.000519916553581116;0.374686647749192000;0.927151360720163000;100;-8.5173953;1;0.882948;0.469472;-2.83E-05
8;2;1;-20.832155125104200000;0.000000000000000000;9.196229558977270000;-0.000519916553581114;0.374526435025249000;0.927216090862349000;100;8.53215231;1;0.615661;0.788011;-4.15E-06
9;2;1;-7.639755002174690000;0.000000000000000000;14.776332104164600000;-0.000190687131103434;0.374478128815022000;0.927235727675340000;100;13.70148805;1;0.173648;0.984808;-8.65E-05
10;2;1;5.556050448715420000;-0.000000000000001776;20.357877033913000000;0.000138542309664769;0.374429780979157000;0.927255261468992000;100;18.87660653;1;0.71934;0.694658;-7.48E-06
11;2;1;18.755265476867800000;0.000000000000000000;25.940866146366200000;0.000467771732142451;0.374381391523024000;0.927274692241135000;100;24.05751116;1;0.913545;0.406737;-3.35E-06
12;2;1;-22.934958111143200000;-0.000000000000001776;44.359437988001400000;-0.000572061317251276;0.374221137185033000;0.927339319359311000;100;41.13936498;1;0.961262;0.275637;-1.24E-05
19;2;1;22.887949432163600000;-0.000000000000003553;-44.268265516521300000;0.000572061317251272;0.374991862343510000;0.927027926182375000;100;-41.03483132;1;0.559193;0.829038;-6.80E-05
