sep=	
Reflection Zoneplate_RN	Reflection Zoneplate_RS	Reflection Zoneplate_RO	Reflection Zoneplate_OX	Reflection Zoneplate_OY	Reflection Zoneplate_OZ	Reflection Zoneplate_DX	Reflection Zoneplate_DY	Reflection Zoneplate_DZ	Reflection Zoneplate_EN	Reflection Zoneplate_PL	Reflection Zoneplate_S0	Reflection Zoneplate_S1	Reflection Zoneplate_S2	Reflection Zoneplate_S3
31	2	1	-2.73413605054329	0.323256175944412	90.4285977821581	0.0206821084434091	-0.00730432748301434	0.999759419655727	100	90.3631998730416	1	1	0	0
32	2	1	-1.95292633423225	0.328280754387747	90.2832685824025	0.0147302050615947	0.00128331244790842	0.999890681108692	100	90.217604718373	1	1	0	0
33	2	1	-1.17173901321082	0.333305165112392	90.1379448317874	0.0087871482396377	0.0051598066639605	0.999948079862652	100	90.0720747251162	1	1	0	0
34	2	1	-0.390574077034657	0.338329408186268	89.9926265283292	0.00284626981707806	0.00661922616244415	0.999974041959659	100	89.9266098887001	1	1	0	0
35	2	1	0.390568484739449	0.343353483677648	89.8473136700257	-0.00309351590284581	0.00609450325903347	0.999976643321925	100	89.7812102045373	1	1	0	0
36	2	1	1.17168868255352	0.348377391654794	89.7020062548743	-0.0090315604004372	0.0034408017130344	0.999953294809465	100	89.6358756680456	1	1	0	0
37	2	1	1.95278652684847	0.353401132185801	89.5567042808819	-0.0149645857183121	-0.0023630511402968	0.999885231995946	100	89.4906062746522	1	1	0	0
46	2	1	-1.94374053479729	1.20982054766714	42.5187805689757	0.017623029317056	-0.010156424125377	0.999793116542955	100	42.451206809239	1	1	0	0
47	2	1	-1.16622769194242	1.21480862096888	42.3748287446169	0.0105211971567133	0.000172321659802938	0.999944635825222	100	42.3070497434383	1	1	0	0
48	2	1	-0.388737022721854	1.21979653377642	42.2308820139549	0.00343068413697088	0.00323742240827273	0.999988874689365	100	42.1629571983249	1	1	0	0
49	2	1	0.388731483182493	1.22478428615685	42.0869403750306	-0.00365846186851925	0.00251347023025854	0.999990149013558	100	42.0189291693841	1	1	0	0
50	2	1	1.16617783608763	1.2297718781772	41.9430038258886	-0.0107442204485033	-0.00251583818724082	0.99993911428905	100	41.8749656521013	1	1	0	0
62	2	1	-0.386917347506176	2.09292471006592	-5.07902175168	0.00471353219569369	-0.00411064038176098	0.999980442433697	100	-5.14877755920133	1	1	0	0
63	2	1	0.386911859977077	2.09787660122647	-5.22161155148393	-0.00489814256101557	-0.00565221401247765	0.999972029946943	100	-5.29145331840482	1	1	0	0
