Reflection Zoneplate_RN;Reflection Zoneplate_RS;Reflection Zoneplate_RO;Reflection Zoneplate_OX;Reflection Zoneplate_OY;Reflection Zoneplate_OZ;Reflection Zoneplate_DX;Reflection Zoneplate_DY;Reflection Zoneplate_DZ;Reflection Zoneplate_EN;Reflection Zoneplate_PL;Reflection Zoneplate_S0;Reflection Zoneplate_S1;Reflection Zoneplate_S2;Reflection Zoneplate_S3
74;2;1;-1.9483226215028900;-1.1568782005999000;66.2775077238367000;0.0160159332274850;-0.0025630730077270;0.9998684516173160;100;66.27776087;1;1;0;0
75;2;1;-1.1689935636466100;-1.1568781867629500;66.2775069311187000;0.0096098861007810;0.0040128089800800;0.9999457722562860;100;66.27764095;1;1;0;0
76;2;1;-0.3896645196730150;-1.1568781798444400;66.2775065347572000;0.0032033497327710;0.0066369738209960;0.9999728441957760;100;66.27758099;1;1;0;0
77;2;1;0.3896645196730150;-1.1568781798444400;66.2775065347572000;-0.0032033497327710;0.0066369738209960;0.9999728441957760;100;66.27758099;1;1;0;0
78;2;1;1.1689935636466100;-1.1568781867629500;66.2775069311187000;-0.0096098861007810;0.0040128089800800;0.9999457722562860;100;66.27764095;1;1;0;0
79;2;1;1.9483226215028900;-1.1568782005999000;66.2775077238367000;-0.0160159332274850;-0.0025630730077270;0.9998684516173160;100;66.27776087;1;1;0;0
89;2;1;-1.1638840352080200;-0.3839228845762280;21.9949273265448000;0.0118594337502830;-0.0030935118344580;0.9999248891870090;100;21.99500145;1;1;0;0
90;2;1;-0.3879613435437460;-0.3839228822903770;21.9949271955885000;0.0039532753448700;0.0027166843830680;0.9999884955538290;100;21.99494202;1;1;0;0
91;2;1;0.3879613435437460;-0.3839228822903770;21.9949271955885000;-0.0039532753448700;0.0027166843830680;0.9999884955538290;100;21.99494202;1;1;0;0
92;2;1;1.1638840352080200;-0.3839228845762280;21.9949273265448000;-0.0118594337502830;-0.0030935118344580;0.9999248891870090;100;21.99500145;1;1;0;0
104;2;1;-0.3862731459423250;0.3822346846877360;-21.8982104197080000;0.0056473151633650;-0.0119430123866900;0.9999127323354660;100;-21.89819566;1;1;0;0
105;2;1;0.3862731459423250;0.3822346846877360;-21.8982104197080000;-0.0056473151633650;-0.0119430123866900;0.9999127323354660;100;-21.89819566;1;1;0;0
