Reflection Zoneplate 1_RN;Reflection Zoneplate 1_RS;Reflection Zoneplate 1_RO;Reflection Zoneplate 1_OX;Reflection Zoneplate 1_OY;Reflection Zoneplate 1_OZ;Reflection Zoneplate 1_DX;Reflection Zoneplate 1_DY;Reflection Zoneplate 1_DZ;Reflection Zoneplate 1_EN;Reflection Zoneplate 1_PL;Reflection Zoneplate 1_S0;Reflection Zoneplate 1_S1;Reflection Zoneplate 1_S2;Reflection Zoneplate 1_S3
31;2;1;5.11413365825226000;-0.00000000000000089;89.83891356641360000;-0.03678273498525180;0.03069749289857500;0.99885168785798600;100.00000000000000000;89.72910706285350000;1;1;0;0
32;2;1;3.66426836461136000;0.00000000000000000;96.41239614258810000;-0.02586537388899430;0.04395157972582100;0.99869877394196600;100.00000000000000000;96.29094974730470000;1;1;0;0
37;2;1;-4.21658670748184000;-0.00000000000000089;97.75690533737880000;0.02967305604063440;0.04054525728131050;0.99873699834200700;100.00000000000000000;97.63486683018660000;1;1;0;0
38;2;1;-5.89177354322173000;-0.00000000000000089;90.82138602704530000;0.04227891345685470;0.01833120809396260;0.99893766586645600;100.00000000000000000;90.71247682447260000;1;1;0;0
45;2;1;5.25932573023470000;0.00000000000000000;69.92421266147320000;-0.04045993239240420;0.02030099546886610;0.99897490631836000;100.00000000000000000;69.83971460761040000;1;1;0;0
46;2;1;3.78767558723220000;0.00000000000000000;76.88648380119070000;-0.02842039581457350;0.04088588795724750;0.99875954326739200;100.00000000000000000;76.78950557280360000;1;1;0;0
47;2;1;2.26587110990763000;0.00000000000000000;81.77298264971490000;-0.01672507690076510;0.04952221634822280;0.99863297656878100;100.00000000000000000;81.66733724526330000;1;1;0;0
48;2;1;0.69730747941478100;0.00000000000000000;84.46566961416140000;-0.00510121214287258;0.05311526899743470;0.99857535811475100;100.00000000000000000;84.35538161545260000;1;1;0;0
49;2;1;-0.91423483158872100;0.00000000000000000;84.83546666885210000;0.00668671032275261;0.05286630748096300;0.99857921139907000;100.00000000000000000;84.72480079679190000;1;1;0;0
50;2;1;-2.56454222087103000;-0.00000000000000089;82.74072620315710000;0.01887913989489760;0.04841448434007220;0.99864889514929800;100.00000000000000000;82.63422026296300000;1;1;0;0
51;2;1;-4.24891570925076000;0.00000000000000000;78.02490506140200000;0.03177161414404870;0.03718039538631840;0.99880337541159700;100.00000000000000000;77.92740923502610000;1;1;0;0
60;2;1;3.90480020207348000;0.00000000000000000;55.42505689827060000;-0.03188601292518750;0.03572710057513780;0.99885277016396600;100.00000000000000000;55.35560870083100000;1;1;0;0
61;2;1;2.35716641148296000;0.00000000000000000;60.58345229795030000;-0.01883061370764270;0.04802874851181690;0.99866843712204200;100.00000000000000000;60.50470426627730000;1;1;0;0
62;2;1;0.75916872425415700;0.00000000000000000;63.39219764299750000;-0.00599509386304072;0.05285950855297010;0.99858396302219500;100.00000000000000000;63.30848831034380000;1;1;0;0
63;2;1;-0.88506137397105000;-0.00000000000000044;63.70790919005770000;0.00698386780269947;0.05267934502175970;0.99858705789660300;100.00000000000000000;63.62384632354270000;1;1;0;0
64;2;1;-2.57090683352646000;-0.00000000000000044;61.37164187120810000;0.02047785851050090;0.04701457707426460;0.99868427786430700;100.00000000000000000;61.29214312008750000;1;1;0;0
65;2;1;-4.29320093517249000;0.00000000000000044;56.20577867825190000;0.03495061690408740;0.03107807672779560;0.99890570502171300;100.00000000000000000;56.13612059993150000;1;1;0;0
74;2;1;4.01229723622924000;0.00000000000000000;31.66532032109810000;-0.03694181553326660;0.02461190960195240;0.99901429227556700;100.00000000000000000;31.62712099029840000;1;1;0;0
75;2;1;2.43855168246029000;0.00000000000000000;37.10618854057800000;-0.02178898680649670;0.04545433214457100;0.99872876385094500;100.00000000000000000;37.05800569050890000;1;1;0;0
